2615094,1348,O
3503263,1238,O
513846,1189,O
737120,1423,O
3244756,1082,O
1991928,1314,O
798015,1236,O
2583510,1440,O
1893664,1057,O
1028371,1376,O
349164,1443,O
3210356,1117,O
3175046,1238,O
3217724,1202,O
3379534,1191,O
2490962,1016,O
119,1482,O
2494074,1088,O
3241487,1138,O
2351951,1248,O
1839695,1205,O
3308199,1276,O
2732261,1435,O
2962803,1435,O
934469,1198,O
912851,1396,O
119,1217,O
3374155,1392,O
2574018,1057,O
1385313,1395,O
2210863,1119,O
812380,1340,O
3179824,1387,O
64244,1446,O
1959712,1388,O
994935,1127,O
2522747,1020,O
304949,1292,O
55828,1169,O
2356312,1477,O
2097298,1290,O
1489052,1488,O
1636076,1243,O
2898870,1306,O
3437103,1066,O
119,1076,O
3099347,1083,O
3361015,1397,O
1835777,1188,O
124373,1384,O
437954,1405,O
1447864,1200,O
2383536,1337,O
1547444,1093,O
2514211,1033,O
2549436,1387,O
3151238,1442,O
1432824,1025,O
1050335,1441,O
3348651,1239,O
551992,1228,O
2888121,1222,O
245860,1212,O
1886411,1216,O
1927028,1340,O
1237286,1137,O
148294,1319,O
3459602,1421,O
3169568,1225,O
1225388,1210,O
1303088,1458,O
2098386,1436,O
284446,1197,O
2624366,1069,O
554126,1475,O
2115304,1132,O
1944570,1301,O
2349547,1304,O
1535258,1432,O
360209,1148,O
2412392,1204,O
2404587,1466,O
8245,1355,O
1765362,1430,O
3243610,1164,O
120,1385,O
266184,1452,O
3117377,1286,O
2060251,1222,O
3525795,1007,O
120,1162,O
3051172,1034,O
1107211,1381,O
2772445,1127,O
534218,1071,O
843043,1028,O
611583,1429,O
602472,1169,O
2677539,1152,O
87326,1113,O
220098,1078,O
2635025,1459,O
3552731,1227,O
1724917,1377,O
1808678,1326,O
3218141,1374,O
610085,1437,O
1523341,1219,O
714452,1312,O
1536845,1456,O
2047261,1277,O
2124861,1307,O
2057743,1272,O
2407976,1473,O
2540628,1473,O
407057,1456,O
225780,1177,O
1752109,1298,O
1006770,1455,O
3462991,1157,O
841623,1396,O
2263726,1266,O
1248816,1008,O
2018901,1004,O
1091816,1040,O
1982505,1328,O
1326320,1143,O
2724169,1144,O
1853464,1255,O
3381482,1014,O
3305711,1320,O
289037,1338,O
916493,1495,O
783216,1066,O
1757065,1154,O
182420,1381,O
505676,1021,O
2125875,1016,O
1648654,1202,O
3229889,1215,O
1687626,1491,O
120,1117,O
2190746,1218,O
224218,1118,O
389145,1471,O
1347105,1280,O
3285310,1322,O
1312487,1023,O
1473013,1183,O
693852,1262,O
1654557,1404,O
851473,1302,O
2043444,1003,O
3135972,1305,O
3232989,1370,O
1311243,1030,O
2438645,1390,O
971601,1074,O
2727535,1400,O
249840,1019,O
2581540,1182,O
1378583,1134,O
2530288,1232,O
77760,1009,O
58653,1075,O
2132547,1499,O
164438,1398,O
2090804,1047,O
2026159,1179,O
42640,1085,O
55835,1026,O
2665739,1479,O
2965849,1477,O
2937957,1057,O
907423,1099,O
1653978,1183,O
1309834,1308,O
3295410,1392,O
1245341,1336,O
3549933,1446,O
221638,1424,O
2882216,1024,O
2871578,1013,O
1960079,1388,O
2302606,1305,O
361657,1106,O
1532451,1275,O
743116,1025,O
923224,1214,O
2545207,1047,O
737939,1476,O
2101602,1252,O
2160867,1210,O
604688,1431,O
2295938,1193,O
2890256,1180,O
1739044,1492,O
1857273,1140,O
120,1247,O
2118129,1367,O
1550739,1149,O
84415,1271,O
2898670,1486,O
338965,1083,O
1647065,1438,O
2111984,1053,O
1027537,1250,O
3131648,1416,O
582836,1251,O
1112668,1434,O
4835,1438,O
1065017,1436,O
939763,1264,O
2875894,1068,O
3317529,1267,O
1399702,1055,O
2063887,1360,O
2539258,1005,O
1867390,1206,O
743415,1300,O
1450731,1087,O
3454812,1104,O
68613,1096,O
1918227,1161,O
707327,1499,O
752367,1166,O
2104283,1118,O
1841764,1375,O
120,1347,O
2675793,1117,O
2195883,1152,O
1981860,1306,O
2214280,1348,O
2602333,1217,O
1784985,1097,O
1659145,1045,O
638223,1477,O
1315503,1040,O
2519109,1173,O
1107824,1448,O
564795,1318,O
2304874,1478,O
1375089,1212,O
3377030,1396,O
2158994,1391,O
3170576,1289,O
120,1117,O
2356034,1431,O
2697693,1001,O
2288116,1202,O
2688940,1049,O
